time_msec,throughput,current_buffer,current_playing_segment
40658,696.96,0.49,6
40758,813.12,0.39,6
40866,759.925,0.281,6
40974,752.889,0.181,6
41082,752.889,0.071,6
41197,808.07,0,6
41305,868.486,0,6
41412,767.094,0,6
41514,575.05,0,6
41618,789.437,0,6
41721,789.437,0,6
41837,707.061,0,6
41946,852.55,0,6
42050,789.437,0,6
42150,1045.44,0,6
42262,837.189,0,6
42377,909.078,0,6
42488,844.8,0,6
42588,813.12,0,6
42698,852.55,0,6
42810,837.189,0,6
42923,822.372,0,6
43035,837.189,0,6
43146,837.189,0,6
43261,815.158,0,6
43375,815.158,0,6
43476,929.28,0,6
43589,616.779,0,6
43696,868.486,0,6
43805,860.444,0,6
43907,911.059,0,6
44018,844.8,0,6
44129,732.541,0,6
44233,1353.32,0,6
44341,868.486,0,6
44449,860.444,0,6
44556,876.679,0,6
44666,959.119,0,6
44776,852.55,0,6
44885,852.55,0,6
44996,844.8,0,6
45105,852.55,0,6
45214,852.55,0,6
45324,852.55,0,6
45436,837.189,0,6
45543,657.509,0,6
45657,815.158,0,6
45758,929.28,0,6
45861,789.437,0,6
45963,797.176,0,6
46069,1106.29,0,6
46170,805.069,0,6
46271,813.12,0,6
46373,797.176,0,6
46474,805.069,0,6
46588,822.372,0,6
46689,805.069,0,6
46804,815.158,0,6
46909,893.538,0,6
47015,774.4,0,6
47121,767.094,0,6
47228,759.925,0,6
47333,781.846,0,6
47441,759.925,0,6
47558,595.692,0,6
47666,752.889,0,6
47773,759.925,0,6
47874,920.079,0,6
47989,611.368,0,6
48098,1065.69,0,6
48210,732.541,0,6
48322,726,0,6
48434,726,0,6
48546,732.541,0,6
48658,726,0,6
48770,732.541,0,6
48896,645.333,0,6
49010,815.158,0,6
49158,194.162,1.901,7
49288,360.186,1.771,7
49394,657.509,1.671,7
49502,1075.56,1.56,7
49619,595.692,1.441,7
49731,627.892,1.331,7
49834,676.66,1.231,7
49939,670.154,1.121,7
50041,683.294,1.021,7
50155,925.168,0.9,7
50257,683.294,0.801,7
50367,745.982,0.69,7
50475,651.364,0.581,7
50583,645.333,0.481,7
50691,645.333,0.371,7
50799,645.333,0.261,7
50907,651.364,0.151,7
51017,639.413,0.04,7
51133,600.828,0,7
51234,690.059,0,7
51339,670.154,0,7
51452,719.575,0,7
51553,464.64,0,7
51653,580.8,0,7
51763,639.413,0,7
51870,547.925,0,7
51986,600.828,0,7
52103,801.103,0,7
52217,611.368,0,7
52332,611.368,0,7
52447,611.368,0,7
52547,696.96,0,7
52649,575.05,0,7
52754,553.143,0,7
52855,580.8,0,7
52957,569.412,0,7
53060,569.412,0,7
53163,569.412,0,7
53266,569.412,0,7
53368,569.412,0,7
53482,509.474,0,7
53602,488.067,0,7
53710,645.333,0,7
53824,513.982,0,7
53936,518.571,0,7
54056,677.6,0,7
54167,528,0,7
54277,528,0,7
54388,528,0,7
54498,528,0,7
54609,528,0,7
54721,523.243,0,7
54836,611.368,0,7
54956,484,0,7
55074,492.203,0,7
55195,484,0,7
55314,488.067,0,7
55434,488.067,0,7
55555,384,0,7
55677,480,0,7
55779,460.04,0,7
55900,484,0,7
56005,553.143,0,7
56121,600.828,0,7
56225,451.107,0,7
56329,451.107,0,7
56434,442.514,0,7
56539,446.769,0,7
56642,451.107,0,7
56746,446.769,0,7
56851,442.514,0,7
56955,451.107,0,7
57060,446.769,0,7
57177,496.41,0,7
57292,407.579,0,7
57406,407.579,0,7
57516,319.706,0,7
57636,390.454,0,7
57753,397.128,0,7
57890,427.059,0,7
58015,371.712,0,7
58124,532.844,0,7
58248,472.195,0,7
58376,365.858,0,7
58503,365.858,0,7
58631,365.858,0,7
58757,368.762,0,7
58885,363,0,7
59012,368.762,0,7
59139,365.858,0,7
59268,363,0,7
59370,455.529,0,7
59497,276.571,0,7
59643,318.247,0,7
59756,308.389,0,7
59868,313.946,0,7
59996,272.25,0,7
60121,468.387,0,7
60229,325.682,0,7
60336,325.682,0,7
60442,331.886,0,7
60545,338.33,0,7
60666,290.4,0,7
60774,322.667,0,7
60897,285.639,0,7
61020,283.317,0,7
61143,285.639,0,7
61266,283.317,0,7
61388,285.639,0,7
61534,240.331,0,7
61676,327.211,0,7
61822,240.331,0,7
61969,237.061,0,7
62114,242,0,7
62218,335.077,0,7
62361,245.408,0,7
62504,243.692,0,7
62646,247.149,0,7
62750,335.077,0,7
62864,203.789,0,7
62979,203.789,0,7
63092,207.429,0,7
63206,203.789,0,7
63320,205.593,0,7
63434,205.593,0,7
63572,169.577,0,7
63689,198.564,0,7
63805,200.276,0,7
63924,196.881,0,7
64069,240.331,0,7
64184,202.017,0,7
64326,164.766,0,7
64467,164.766,0,7
64607,167.137,0,7
64750,163.606,0,7
64891,165.943,0,7
65032,164.766,0,7
65200,207.429,0,7
65358,147.975,0,7
65539,128.354,0,7
65701,143.407,0,7
65865,142.528,0,7
65990,187.355,0,7
66148,147.975,0,7
66304,223.385,0,7
66459,149.884,0,7
66616,148.923,0,7
66772,149.884,0,7
66928,148.923,0,7
67084,149.884,0,7
67240,148.923,0,7
67395,226.286,0,7
67575,129.067,0,7
67691,149.148,0,7
67904,0,1.801,8
68047,231.944,1.66,8
68202,149.884,1.5,8
68355,151.843,1.35,8
68508,227.765,1.201,8
68660,153.854,1.05,8
68812,152.842,0.889,8
68964,153.854,0.741,8
69116,152.842,0.591,8
69268,153.854,0.441,8
69421,152.842,0.29,8
69598,132,0.11,8
69754,223.385,0,8
69907,151.843,0,8
70025,198.564,0,8
70176,153.854,0,8
70327,153.854,0,8
70479,153.854,0,8
70630,154.88,0,8
70780,232.32,0,8
70929,156.973,0,8
71078,155.919,0,8
71227,155.919,0,8
71376,155.919,0,8
71551,133.517,0,8
71707,148.923,0,8
71856,155.919,0,8
72009,229.263,0,8
72142,176,0,8
72267,185.856,0,8
72416,156.973,0,8
72562,159.123,0,8
72710,158.041,0,8
72858,158.041,0,8
73004,240.331,0,8
73149,160.221,0,8
73294,161.333,0,8
73442,158.041,0,8
73611,137.467,0,8
73762,153.854,0,8
73910,158.041,0,8
74022,209.297,0,8
74167,242,0,8
74310,162.462,0,8
74455,161.333,0,8
74598,162.462,0,8
74747,156.973,0,8
74885,168.348,0,8
75029,162.462,0,8
75174,160.221,0,8
75316,247.149,0,8
75460,162.462,0,8
75586,92.928,0,8
75721,172.089,0,8
75848,184.381,0,8
75987,167.137,0,8
76131,161.333,0,8
76249,198.564,0,8
76382,174.677,0,8
76522,250.705,0,8
76665,163.606,0,8
76809,161.333,0,8
76946,169.577,0,8
77087,165.943,0,8
77230,163.606,0,8
77370,165.943,0,8
77540,136.659,0,8
77713,202.605,0,8
77827,203.789,0,8
77973,159.123,0,8
78076,225.553,0,8
78210,174.677,0,8
78350,165.943,0,8
78501,154.88,0,8
78628,182.929,0,8
78769,247.149,0,8
78904,173.373,0,8
79052,158.041,0,8
79179,182.929,0,8
79318,168.348,0,8
79529,57.1034,1.84,9
79694,141.659,1.67,9
79807,207.429,1.56,9
79942,260.06,1.43,9
80050,107.556,1.321,9
80192,247.149,1.18,9
80328,170.824,1.04,9
80466,169.577,0.901,9
80602,170.824,0.77,9
80743,165.943,0.631,9
80890,158.041,0.481,9
81009,292.84,0.36,9
81149,167.137,0.221,9
81280,178.708,0.09,9
81416,172.089,0,9
81517,115.01,0,9
81672,150.857,0,9
81871,176,0,9
82058,186.353,0,9
82224,281.6,0,9
82357,174.677,0,9
82490,174.677,0,9
82624,174.677,0,9
82757,174.677,0,9
82890,174.677,0,9
83024,174.677,0,9
83157,174.677,0,9
83290,264,0,9
83422,176,0,9
83579,148.923,0,9
83718,168.348,0,9
83856,168.348,0,9
83991,172.089,0,9
84153,216.447,0,9
84287,174.677,0,9
84419,177.344,0,9
84550,266.015,0,9
84681,178.708,0,9
84813,176,0,9
84944,178.708,0,9
85074,178.708,0,9
85206,177.344,0,9
85337,178.708,0,9
85469,176,0,9
85623,227.765,0,9
85757,174.677,0,9
85891,174.677,0,9
86024,174.677,0,9
86134,211.2,0,9
86246,207.429,0,9
86377,178.708,0,9
86506,180.093,0,9
86636,180.093,0,9
86765,270.14,0,9
86893,182.929,0,9
87023,178.708,0,9
87152,180.093,0,9
87295,162.462,0,9
87412,200.276,0,9
87548,158.529,0,9
87758,0,1.801,10
87871,190.726,1.691,10
87991,292.84,1.57,10
88130,167.137,1.43,10
88261,268.062,1.3,10
88388,184.381,1.179,10
88515,182.929,1.05,10
88642,182.929,0.92,10
88769,184.381,0.79,10
88896,182.929,0.67,10
89023,184.381,0.54,10
89148,278.784,0.41,10
89274,185.856,0.291,10
89399,185.856,0.16,10
89548,156.973,0.011,10
89692,161.333,0,10
89801,213.138,0,10
89952,154.88,0,10
90090,252.522,0,10
90216,278.784,0,10
90340,187.355,0,10
90465,185.856,0,10
90590,185.856,0,10
90717,184.381,0,10
90840,190.426,0,10
90966,184.381,0,10
91090,188.878,0,10
91215,185.856,0,10
91339,281.032,0,10
91465,185.856,0,10
91626,144.298,0,10
91757,178.708,0,10
91878,193.6,0,10
91991,205.593,0,10
92118,184.381,0,10
92270,229.263,0,10
92393,190.426,0,10
92514,288,0,10
92637,190.426,0,10
92770,176,0,10
92881,209.297,0,10
93004,188.878,0,10
93126,192,0,10
93249,190.426,0,10
93384,173.373,0,10
93502,198.564,0,10
93654,229.263,0,10
93797,163.606,0,10
93950,227.765,0,10
94092,164.766,0,10
94224,266.015,0,10
94341,198.564,0,10
94463,192,0,10
94590,184.381,0,10
94704,305.684,0,10
94824,195.227,0,10
94945,193.6,0,10
95065,195.227,0,10
95185,193.6,0,10
95305,193.6,0,10
95424,195.227,0,10
95568,162.462,0,10
95715,158.041,0,10
95826,211.2,0,10
95972,320.441,0,10
